album,count
A Giant Dog - Toy,1
Alvvays - Antisocialites,1
Angelo De Augustine - Swim Inside the Moon,1
Antisocialites - Alvvays,1
Ariel Pink - Dedicated to Bobby Jameson,1
Au.Ra - Cultivations,1
Beliefs - Habitat,1
Birds - EVERYTHING ALL AT ONCE,1
Brief Candles - Retreater,1
Buffalo Killers - Alive and Well in Ohio,1
Bully - Losing,1
Chad VanGaalen - Light Information,1
Chassol - Big Sun,1
Church Girls - HIDALGO,1
Cobra Family Picnic - Magnetic Anomaly,1
Code Orange - Forever,1
Com Truise - Iteration,2
Cults - Offering,1
Cut Copy - Haiku From Zero,1
Cymbals - Light In Your Mind,1
Dan Blacksberg - Radiant Others,2
David Nance Band - summer single series 2017,1
Dead Cross - Dead Cross,2
Destroyer - ken,1
Dirty Fences - Goodbye Love,1
Dj Flugvel Og Geimskip - Made in Iceland Vol. 8,1
Duds - OF A NATURE OR DEGREE,1
Emptyset - Skin,1
Everyone's Dirty - My Neon's Dead,1
Exhumed - Death Revenge,2
Fujiya + Miyagi - Fujiya + Miyagi,1
Ghoul - Dungeon Bastards,1
Glazer - On a Prairie Live in the Dirt,1
Good NightOwl - Psycle,1
Grooms - Exit Index,1
Haikus - Onigiri,1
Headroom - Head In the Clouds,2
"Hothead - 7""",1
Hothead - Summer Single Series 2017,1
Incantation - Profane Nexus,1
Jack Cooper - Sandgrown,1
JD McPherson - UNDIVIDED HEART & SOUL,1
Jim-E Stack - It's Jim-Ee,1
Kaitlyn Aurelia Smith - The Kid,1
Khan Tengri - KT2,1
KMFDM - Hell Yeah,1
L.A. Witch - L.A. Witch,1
Lee Ranaldo - Electric Trim,1
Maximo Park - Risk to Exist,1
Maximo Park - Risk to Exist (Deluxe),1
Melkbelly - NOTHING VALLEY,1
Metz - Strange Peace,1
Moonchild - Voyager,1
Myrkur - Mareidt,1
Necrot - Blood Offerings,1
Oh Sees - Orc,1
Omni - Multi-Task,1
OMNI - Multitask,1
ORB - Naturality,2
Otis the Destroyer - Keep Bashing,1
Pauline Anna Strom - Trans-Millenia Music,1
Phono Pony - Death by Blowfish,1
Power Trip - Nightmare Logic,1
Primitive Man - Caustic,1
Protomartyr - Relatives In Descent,3
Red Martian - Retrailing,2
Richard Walters - The Animal,1
Shilpa Ray - Door Girl,2
St. Vincent - Masseduction,1
Sudo Williams - Me You & Them,1
Taiwan Housing Project - Veblen Death Mask,1
The Kickbacks - Weddings and Funerals,1
The National - Sleep Well Beast,1
"The Pineapples - 7""",1
Tracy Bryant - A Place for Nothing and Everything in Its Place,1
Washed Out - Mister Mellow,2
Wild Cub - Closer,1
"Writhing Squares Too - 7""",1
